sebi_id,name,reg_no,category,contact_person,email,telephone,fax,website,domain,pincode,city,state,address,correspondence_address,validity,sebi_type
317,BISWA BANGLA SILPA TRUST,IN/AIF1/15-16/0184,Category I,,,,,,,700001,Kolkata,West Bengal,"BISWA BANGLA SILPA TRUST, GOVERNMENT OF WEST BENGAL, DEPARTMENT OF MSME AND TEXTILES, , 4th FLOOR, HEMANTA BHAVAN, 12 B.B.D. BAG  EAST , KOLKATA, KOLKATA, WEST BENGAL, 700001",,"Nov 09, 2015 - Perpetual",aif
318,BLACK FOX INNOVATIVE INVESTMENT TRUST,IN/AIF2/15-16/0149,Category II,,,,,,,,,,,,"May 15, 2015 - Perpetual",aif
319,BLACK OLIVE REAL ESTATE OPPORTUNITIES TRUST,IN/AIF1/13-14/0043,Category I,,,,,,,,,,,,"Apr 02, 2013 - Perpetual",aif
320,Blackhill Fund I,IN/AIF2/24-25/1548,Category II,Rajesh Ranjan,rajesh.ranjan@blackhillfund.com,,,,,400088,Mumbai,Maharashtra,"1702-3, Daffodil, Neelkanth Gardens, Sankeshwar Parsvanath Marg, Govandi East, MUMBAI, MAHARASHTRA, 400088","1702-3, Daffodil, Neelkanth Gardens, Sankeshwar Parsvanath Marg, Govandi East, MUMBAI, MAHARASHTRA, 400088","Jun 27, 2024 - Perpetual",aif
321,Blacksoil India Credit Fund,IN/AIF2/20-21/0784,Category II,Ankur Bansal,ankurbansal@blacksoil.co.in,,,,,400013,Mumbai,Maharashtra,"1203, Lodha Supremus, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","1203, Lodha Supremus, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Apr 22, 2020 - Perpetual",aif
322,BLACKSOIL REALTY TRUST,IN/AIF2/13-14/0052,Category II,,,,,,,400013,Mumbai,Maharashtra,"1203,LODHA SUPREMUS, Senapati Bapat Marg, Lower Parel, Elphinston road Mumbai, MUMBAI, MAHARASHTRA, 400013",,"May 10, 2013 - Perpetual",aif
323,BLinC Fund,IN/AIF2/20-21/0864,Category II,Amit Ratanpal,amit.ratanpal@blincinvest.com,,,,,400069,Mumbai,Maharashtra,"1st floor, B wing, Kaledonia Building,, Sahar Road, Andheri East, MUMBAI, MAHARASHTRA, 400069","1st floor, B wing, Kaledonia Building, Sahar Road, Andheri East, MUMBAI, MAHARASHTRA, 400069","Feb 15, 2021 - Perpetual",aif
324,Bloomfield AIF Cat II Trust,IN/AIF2/24-25/1619,Category II,MOHAN KUMAR,aif@1finance.co.in,,,,,400063,Mumbai,Maharashtra,"Unit No 1101 1102 11th Floor B Wing Lotus Corporate Park Goregaon E, MUMBAI, MAHARASHTRA, 400063","Unit No 1101 1102 11th Floor B Wing Lotus Corporate Park Goregaon E, MUMBAI, MAHARASHTRA, 400063","Oct 30, 2024 - Perpetual",aif
325,Blu Network Advantage Fund,IN/AIF1/22-23/1149,Category I,Sarita Raichura,sadashiva@constellationblu.com,,,,,400027,Mumbai,Maharashtra,"Unit 4, Jetha Compound, Opp. Nirmal Park, Byculla East, MUMBAI, MAHARASHTRA, 400027","Unit 4, Jetha Compound, Opp. Nirmal Park, Byculla East, MUMBAI, MAHARASHTRA, 400027","Oct 19, 2022 - Perpetual",aif
326,Blue Ashva Capital Trust,IN/AIF2/19-20/0755,Category II,Deep Kothari,deep.kothari@blueashvacapital.com,,,,,400051,Mumbai,Maharashtra,"403 404,Madhava Building, Near Family Court,, E Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","403 404,Madhava Building, Near Family Court, E Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Dec 12, 2019 - Perpetual",aif
327,BLUE ASHVA SAMVRIDDHI TRUST,IN/AIF2/25-26/2014,Category II,Deep Kothari,deep.kothari@blueashvacapital.com,,,,,400051,Mumbai,Maharashtra,"403 404, Madhava, C5, Bandra Kurla Complex Road, near Family Court, E Block BKC, Bandra East, MUMBAI, MAHARASHTRA, 400051","403 404, Madhava, C5, Bandra Kurla Complex Road, near Family Court, E Block BKC, Bandra East, MUMBAI, MAHARASHTRA, 400051","Jan 07, 2026 - Perpetual",aif
328,Blue Ashva Varenya Fund,IN/AIF1/21-22/0933,Category I,Nakul Agarwal,nakul.agarwal@blueashvacapital.com,,,,,400051,Mumbai,Maharashtra,"403,404,Madhava Building, Near Family Court, E Block,, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","403,404,Madhava Building, Near Family Court, E Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Sep 30, 2021 - Perpetual",aif
329,Blue Lotus Capital AIF Trust,IN/AIF3/17-18/0348,Category III,Somesh Joshi,somesh@bluelotuscap.com,,,,,400037,Mumbai,Maharashtra,"721, Seventh Floor, Maker Chambers V V, Nariman Point, MUMBAI, MAHARASHTRA, 400037",,"Jul 12, 2017 - Perpetual",aif
330,BlueGreen Trust I,IN/AIF2/24-25/1611,Category II,Rajeev Suri,rajeev@bluegreen.vc,,,,,400051,Mumbai,Maharashtra,"WeWork Enam Sambhav C20 G Block BKC Bandra East, MUMBAI, MAHARASHTRA, 400051","WeWork Enam Sambhav C20 G Block BKC Bandra East, MUMBAI, MAHARASHTRA, 400051","Oct 15, 2024 - Perpetual",aif
331,Bluehill Capital Trust,IN/AIF1/24-25/1513,Category I,,,,,,,600004,Chennai,Tamil Nadu,"11 10, No 4B, 4th Floor, Sara Apt, CIT colony, Mylapore, CHENNAI, TAMIL NADU, 600004","11 10, No 4B, 4th Floor, Sara Apt, CIT colony, Mylapore, CHENNAI, TAMIL NADU, 600004","May 06, 2024 - Perpetual",aif
332,Bluemont Credit Opportunities Fund,IN/AIF2/18-19/0657,Category II,Ishaan Vyas,ishaan.vyas@nishithdesai.com,,,,,560004,Bangalore,Karnataka,"No 37, Krishil Capital, M N Krishna Rao Road,, Lalbagh West Gate, Basavanagudi,, BANGALORE, KARNATAKA, 560004","No 37, Krishil Capital, M N Krishna Rao Road, Lalbagh West Gate, Basavanagudi, BANGALORE, KARNATAKA, 560004","Mar 25, 2019 - Perpetual",aif
333,BlueOcean Capital India Trust,IN/AIF3/25-26/1865,Category III,Lavneesh Mohan,lavneesh@blueoceancapital.co.in,,,,,400021,Mumbai,Maharashtra,"902 Raheja Chambers, Free Press Journal Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021","902 Raheja Chambers, Free Press Journal Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021","Jul 29, 2025 - Perpetual",aif
334,BluePrint Ecosys Trust,IN/AIF2/24-25/1698,Category II,Gopal Modi,gopal.modi@blueashvacapital.com,,,,,400051,Mumbai,Maharashtra,"403 404, Madhava, C5, Bandra Kurla Complex Road, near Family Court, E Block BKC, Bandra East, MUMBAI, MAHARASHTRA, 400051","403 404, Madhava, C5, Bandra Kurla Complex Road, near Family Court, E Block BKC, Bandra East, MUMBAI, MAHARASHTRA, 400051","Jan 17, 2025 - Perpetual",aif
335,BLUERISE FUND AIF,IN/AIF2/25-26/2104,Category II,Dakshil Bhatt,saloni@bluebuildingconcepts.com,,,,,380059,Ahmedabad,Gujarat,"905, 906, Arista Business Space, Pakvan Circle to Sindhubhavan Road, Near Armieda Clinic, Bodakdev, AHMEDABAD, GUJARAT, 380059",,"Mar 24, 2026 - Perpetual",aif
336,BLUME VENTURES FUND I,IN/AIF1/25-26/1853,Category I,Mitul Mehta,mitul@blume.vc,,,,,400027,Mumbai,Maharashtra,"Unit no 2 8 Jetha Compound Opp Nirmal Park Byculla East, MUMBAI, MAHARASHTRA, 400027","Unit no 2 8 Jetha Compound Opp Nirmal Park Byculla East, MUMBAI, MAHARASHTRA, 400027","Jul 21, 2025 - Perpetual",aif
337,BLUME VENTURES FUND IA,IN/AIF1/14-15/0106,Category I,Ashish Fafadia,ashish@blume.vc,,,,,400054,Mumbai,Maharashtra,"C 1 by 5, Sarathi CHS,Khira Nagar, S V Road,, Santacruz West,, MUMBAI, MAHARASHTRA, 400054",,"May 16, 2014 - Perpetual",aif
338,BLUME VENTURES INDIA FUND II,IN/AIF1/15-16/161,Category I,,,,,,,400054,Mumbai,Maharashtra,"C  1 by 5,Sarathi CHS, Khira Nagar,S V Road, Santacruz West, MUMBAI, MAHARASHTRA, 400054",,"Jun 29, 2015 - Perpetual",aif
339,Blume Ventures India Fund III,IN/AIF1/18-19/0599,Category I,Nandini Pathak,nandini.pathak@nishithdesai.com,,,,,400027,Mumbai,Maharashtra,"402 A Hallmark Business Square Saint Dhyaneshwar Marg, MUMBAI, MAHARASHTRA, 400051","Unit No 4, Jetha Compound, , Opposite Nirmal Park, Byculla (E), Mumbai - 400027, MUMBAI, MAHARASHTRA, 400027","Oct 04, 2018 - Perpetual",aif
340,BLUME VENTURES INDIA TRUST IV,IN/AIF2/21-22/0947,Category II,Ashish Fafadia,finance@blume.vc,,,,,400027,Mumbai,Maharashtra,"Windsor 6th Floor Office No 604 CST Road, Kalina Santacruz East, MUMBAI, MAHARASHTRA, 400098","Unit No 4 Jetha Compound Opposite Nirmal Park, Byculla E Mumbai, MUMBAI, MAHARASHTRA, 400027","Nov 03, 2021 - Perpetual",aif
341,Blume Ventures India Trust V,IN/AIF2/24-25/1636,Category II,Mitul Mehta,Finance@blume.vc,,,,,400027,Mumbai,Maharashtra,"Unit No 4 Jetha Compound Opposite Nirmal Park, Byculla E Mumbai, MUMBAI, MAHARASHTRA, 400027","Unit No 4 Jetha Compound Opposite Nirmal Park, Byculla E Mumbai, MUMBAI, MAHARASHTRA, 400027","Nov 21, 2024 - Perpetual",aif
342,BLUME VENTURES OPPORTUNITIES FUND IIA,IN/AIF1/18-19/0558,Category I,Venkatesh Prabhu,venkatesh@milestonetrustee.in,,,,,400008,Mumbai,Maharashtra,"Cat 412 Navjivan Building No 3, Lamington Road  Navjivan Commercial Premises Co op Society, MUMBAI, MAHARASHTRA, 400008","Cat 412 Navjivan Building No 3, Lamington Road  Navjivan Commercial Premises Co op Society, MUMBAI, MAHARASHTRA, 400008","Jun 28, 2018 - Perpetual",aif
343,Blume Ventures Opportunities Fund IIB,IN/AIF1/21-22/0966,Category I,Ashish Fafadia,finance@blume.vc,,,,,400027,Mumbai,Maharashtra,"Unit No 4 Jetha compound, Opp Nirmal Park Byculla East, MUMBAI, MAHARASHTRA, 400027","Unit No 4 Jetha compound, Opp Nirmal Park Byculla East, MUMBAI, MAHARASHTRA, 400027","Dec 22, 2021 - Perpetual",aif
344,Bombay Capital Trust 1,IN/AIF2/23-24/1329,Category II,Ankit Bengani,ankitbengani@gmail.com,,,,,400002,Mumbai,Maharashtra,"Vaibhav Chambers, Unit No. 205 and 206, 2nd Floor, Plot No. 1, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","103, Sancheti Bhavan, 4th Floor, Shamaldas Gandhi Marg, Kalbadevi, MUMBAI, MAHARASHTRA, 400002","Aug 09, 2023 - Perpetual",aif
345,Bombay SS Capital Fund,IN/AIF2/25-26/2075,Category II,Sharad Ladha,sharadladha@bombaysscapital.com,,,,,400027,Mumbai,Maharashtra,"202 Mahimkar Residency, 12 Dodoji Konndev Cross Road, Byculla E, MUMBAI, MAHARASHTRA, 400027",,"Mar 05, 2026 - Perpetual",aif
346,Bonanza Wealth Investment Trust,IN/AIF3/24-25/1713,Category III,Achin Goel,achin@bonanzaonline.com,,,,,400063,Mumbai,Maharashtra,"B 81, First floor, Sarvodaya Enclave, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017","Bonanza House, M 2, Cama Industrial Estate, Walbhat Road, Goregaon, MUMBAI, MAHARASHTRA, 400063","Feb 06, 2025 - Perpetual",aif
347,BORING AMC,IN/AIF3/23-24/1410,Category III,Saloni Jain,info@omkara-asas.com,,,,,400012,Mumbai,Maharashtra,"207 A B, Peninsula Center, Dr SS Rao Marg, opposite Gandhi Hospital, Ganesh Gully, Parel, MUMBAI, MAHARASHTRA, 400012","Unit No.206A, Peninsula Centre, Dr S. S. Rao Road, Parel East, Lalbaug, MUMBAI, MAHARASHTRA, 400012","Dec 14, 2023 - Perpetual",aif
348,Bowden Syndicates,IN/AIF1/22-23/1098,Category I,,,,,,,380008,Ahmedabad,Gujarat,"FGC House 14 Panchwati Society near Jai Hind cross roads, Maninagar Ahmedabad 380008, AHMEDABAD, GUJARAT, 380008","FGC House 14 Panchwati Society near Jai Hind cross roads, Maninagar Ahmedabad 380008, AHMEDABAD, GUJARAT, 380008","Jul 04, 2022 - Perpetual",aif
349,Bowhead Trust,IN/AIF3/24-25/1701,Category III,Prateek Gupta,compliance@bowheadindia.com,,,,,122002,Gurgaon,Haryana,"M113 DLF Park Place, DLF Phase 5 Sector 54, GURGAON, HARYANA, 122002","Unit no 63 The Executive Centre, Golf Course Road DLF Phase 5 Sector 43, GURGAON, HARYANA, 122002","Jan 21, 2025 - Perpetual",aif
350,BRAHM CAPITAL PARTNERS,IN/AIF2/13-14/0079,Category II,,,,,,,,,,,,"Oct 17, 2013 - Perpetual",aif
351,Brands and  Beyond India Fund 1,IN/AIF2/19-20/0673,Category II,Francois Arpels,francois@brands-beyond.com,,,,,110065,New Delhi,National Capital Territory Of Delhi,"Flat n 53 Block C 3rd Floor Flatted Factory Complex , Jhandewalan, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110055","67A Friends Colony West, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110065","Apr 08, 2019 - Perpetual",aif
352,Breathe Capital India Fund,IN/AIF1/24-25/1493,Category I,Shauraya Bhutani,shauraya@breathecap.com,,,,,110012,New Delhi,National Capital Territory Of Delhi,"EC13 , Inderpuri, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110012","EC13 , Inderpuri, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110012","Apr 04, 2024 - Perpetual",aif
353,Brescon CAT 1 AIF Special Situation Fund,IN/AIFundefined/22-23/1184,,,,,,,,400051,Mumbai,Maharashtra,"C Wing, Office No. 1516, 15th Floor, ONE BKC, Bandra Kurla Complex, Bandra E, MUMBAI, MAHARASHTRA, 400051","C Wing, Office No. 1516, 15th Floor, ONE BKC, Bandra Kurla Complex, Bandra E, MUMBAI, MAHARASHTRA, 400051","Dec 26, 2022 - Perpetual",aif
354,Brescon Opportunities Fund,IN/AIF2/18-19/0643,Category II,Nitish Jain,nitish@brescon.com,912262344646625,912262344646625,,,400051,Mumbai,Maharashtra,"85, 8th Floor, 3 North Avenue, Maker Maxity, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","85, 8th Floor, 3 North Avenue, Maker Maxity, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Mar 07, 2019 - Perpetual",aif
355,Brew Opportunities Fund,IN/AIF1/22-23/1101,Category I,Saurabh  Sharma,saurabhdavesarsharma@gmail.com,,,,,110065,Delhi,National Capital Territory Of Delhi,"E-1 F/F, East of Kailash, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110065","E-1 F/F, East of Kailash, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110065","Jul 07, 2022 - Perpetual",aif
356,Brickklin Realty Trust,IN/AIF2/26-27/2247,Category II,Akhil Singla,legal@brickklin.vc,,,,,122018,Gurugram,Haryana,"S 338 Uppal Southend Sector 49 , Gurgaon Haryana India 122018, GURUGRAM, HARYANA, 122018",,"Jul 06, 2026 - Perpetual",aif
357,Bright Cove Alternate Investment Opportunities Fund,IN/AIF2/22-23/1133,Category II,Sonam Gupta,sonam.gupta@brightcovecapital.in,,,,,122002,Gurgaon,Haryana,"C 14 Basement , Greater Kailash Enclave I New Delhi South Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110048","Level 18 One Horizon Centre Golf Course Road, Sector 43 Gurugram Haryana India, GURGAON, HARYANA, 122002","Sep 12, 2022 - Perpetual",aif
358,Brighter Mind Fortune Trust,IN/AIF3/24-25/1729,Category III,Rajeev  Ranjan,rajeevranjan@brightermind.in,,,,,201304,Noida,Uttar Pradesh,"305, Tower 4, Assotech, Business Cresterra, Sector 135, Chhaprauli Bengar, Dadri, Gautam Buddha Nagar, NOIDA, UTTAR PRADESH, 201304","305, Tower 4, Assotech, Business Cresterra, Sector 135, Chhaprauli Bengar, Dadri, Gautam Buddha Nagar, NOIDA, UTTAR PRADESH, 201304","Feb 20, 2025 - Perpetual",aif
359,BTH Capital,IN/AIF3/25-26/2070,Category III,Sugandhi Sud,sugandhisud@gmail.com,,,,,122018,Gurugram,Haryana,"Unit 1121, 11th Floor, AIPL Joy Street, Sector 66, Badshahpur, Gurgaon, GURUGRAM, HARYANA, 122018",,"Mar 02, 2026 - Perpetual",aif
360,BUILD INDIA FUND,IN/AIF3/13-14/0096,Category III,,,,,,,700046,Kolkata,West Bengal,"Vishwakarma, 86C Topsia Road, KOLKATA, WEST BENGAL, 700046",,"Feb 25, 2014 - Perpetual",aif
361,Bulsona Capital Trust,IN/AIF3/25-26/1905,Category III,Vivek kumar Singhal,bulsonagrp@gmail.com,,,,,400053,Mumbai,Maharashtra,"201, Eco Space IT ParkNew, Nagardas Road,, Mogra Village, Natwar Nagar, Jogeshwari  East, MUMBAI, MAHARASHTRA, 400053","201, Eco Space IT ParkNew, Nagardas Road, Mogra Village, Natwar Nagar, Jogeshwari  East, MUMBAI, MAHARASHTRA, 400053","Sep 19, 2025 - Perpetual",aif
362,Buoyant Capital AIF,IN/AIF3/22-23/1125,Category III,Jigar Mistry,aif@buoyantcap.com,,,,,400028,Mumbai,Maharashtra,"3501, B Wing, Kohinoor Square, N. C. Kelkar Marg, R. G. Gadkari Chowk, Shivaji Park, Dadar West, MUMBAI, MAHARASHTRA, 400028","3501, B Wing, Kohinoor Square, N. C. Kelkar Marg, R. G. Gadkari Chowk, Shivaji Park, Dadar West, MUMBAI, MAHARASHTRA, 400028","Sep 02, 2022 - Perpetual",aif
363,Burgeon Capital Trust,IN/AIF3/26-27/2258,Category III,Parth Shah,jitesh.anand72@gmail.com,,,,,380015,Ahmedabad,Gujarat,"803, Ratnanjali Square, Nr. Gloria Restaurant, Prenatirth Derasar Road, Prahaladnagar, AHMEDABAD, GUJARAT, 380015",,"Jul 10, 2026 - Perpetual",aif
364,Business Excellence Trust II,IN/AIF1/25-26/1979,Category I,Naveen Gupta,compliance.moalts@motilaloswal.com,,,,,400025,Mumbai,Maharashtra,"The Capital Building, Unit No.505- A2, Bandra Kurla Complex , Bandra East,, MUMBAI, MAHARASHTRA, 400051","Motilal Oswal Tower, Rahimtullah Sayani Road, Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","Dec 09, 2025 - Perpetual",aif
365,BUSINESS EXCELLENCE TRUST III,IN/AIF2/17-18/0339,Category II,,,,,,,400025,Mumbai,Maharashtra,"12th Floor, Motilal Oswal Tower, Rahimtullah Sayani Road, Opp. Parel ST Depot,, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,"Jun 14, 2017 - Perpetual",aif
366,Business Excellence Trust IV,IN/AIF2/21-22/0897,Category II,Bhadresh Mehta,bhadresh.mehta@motilaloswal.com,,,,,400025,Mumbai,Maharashtra,"12th Floor Motilal Oswal Tower Rahimtullah Sayani Road Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","12th Floor Motilal Oswal Tower Rahimtullah Sayani Road Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","Jun 28, 2021 - Perpetual",aif
367,BYT Capital Trust,IN/AIF2/25-26/1888,Category II,Amit Chand,amit@bytcapital.in,,,,,560043,Bangalore,Karnataka,"No 887 Kings Tower 3rd Floor 6th Cross, HBR Layout Kalyananagar Hennur, BANGALORE, KARNATAKA, 560043","No 887 Kings Tower 3rd Floor 6th Cross, HBR Layout Kalyananagar Hennur, BANGALORE, KARNATAKA, 560043","Sep 01, 2025 - Perpetual",aif
368,Cactus Partners Trust,IN/AIF2/20-21/0842,Category II,Akshita Jaketia,akshita.maheshwari@cactusglobal.com,,,,,400013,Mumbai,Maharashtra,"Unit no. 2106, One Lodha Place, 21st Floor, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Unit no. 2106, One Lodha Place, 21st Floor, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Nov 17, 2020 - Perpetual",aif
369,Cactus Partners Trust II,IN/AIF2/25-26/2013,Category II,Prashant Hingad,prashant.hingad@cactusvp.com,,,,,400013,Mumbai,Maharashtra,"Unit no 2106 21st Floor One Lodha Place Senapati Bapat Marg Lower Parel, MUMBAI, MAHARASHTRA, 400013","Unit no 2106 21st Floor One Lodha Place Senapati Bapat Marg Lower Parel, MUMBAI, MAHARASHTRA, 400013","Jan 07, 2026 - Perpetual",aif
370,Calculus Innovators Trust,IN/AIF2/25-26/1809,Category II,Prakash Iyer,prakash@calculusfunds.com,,,,,560092,Bangalore,Karnataka,"B805, Brigade Caladium, Survey Number 45 4, 45 5, Dasarahalli Main Road, Kasaba Hobli, Bhuvaneswari Nagar, Hebbal, BANGALORE, KARNATAKA, 560092","B805, Brigade Caladium, Survey Number 45 4, 45 5, Dasarahalli Main Road, Kasaba Hobli, Bhuvaneswari Nagar, Hebbal, BANGALORE, KARNATAKA, 560092","May 16, 2025 - Perpetual",aif
371,Campus Angel Fund,IN/AIF1/25-26/1851,Category I,Manjesh Basavarajaiah,manjesh@yourcampusfund.com,,,,,560086,Bangalore,Karnataka,"No. 146, 1st Cross, 1st Stage Karnataka Layout, Kurubarahalli, BANGALORE, KARNATAKA, 560086","No. 146, 1st Cross, 1st Stage Karnataka Layout, Kurubarahalli, BANGALORE, KARNATAKA, 560086","Jul 18, 2025 - Perpetual",aif
372,Campus Fund,IN/AIF2/21-22/1023,Category II,Manjesh Basavarajaiah,manjesh@yourcampusfund.com,,,,,560086,Bangalore,Karnataka,"No. 146, 1st Cross, 1st Stage, Karnataka Layout, Kurubarahalli, BANGALORE, KARNATAKA, 560086","No. 146, 1st Cross, 1st Stage, Karnataka Layout, Kurubarahalli, BANGALORE, KARNATAKA, 560086","Mar 24, 2022 - Perpetual",aif
373,Canara Bank Venture Development Trust,IN/AIF2/15-16/0206,Category II,,,,,,,560004,Bangalore,Karnataka,"No.29 II FLOOR DWARAKANATH BHAVAN, K R ROAD, BASAVANAGUDI, BANGALORE, KARNATAKA, 560004",,"Feb 04, 2016 - Perpetual",aif
374,CANBANK VENTURE CAPITAL FUND,IN/AIF1/25-26/1867,Category I,Puneet Sharma,puneetsharma@canbank.vc,,,,,560004,Bangalore,Karnataka,"Canbank Venture Capital Fund No.29, II Floor, Dwarakanath Bhavan, K R Road Basavanagudi, BANGALORE, KARNATAKA, 560004","Canbank Venture Capital Fund No.29, II Floor, Dwarakanath Bhavan, K R Road Basavanagudi, BANGALORE, KARNATAKA, 560004","Jul 30, 2025 - Perpetual",aif
375,Canbank Venture Capital Growth Trust,IN/AIF2/24-25/1742,Category II,Beena PP,beena@canbank.vc,,,,,560004,Bangalore,Karnataka,"No 29 2nd Floor Dwarakanath Bhavan Krishna Rajendra Rd Basavanagudi, BANGALORE, KARNATAKA, 560004","No 29 2nd Floor Dwarakanath Bhavan Krishna Rajendra Rd Basavanagudi, BANGALORE, KARNATAKA, 560004","Mar 04, 2025 - Perpetual",aif
376,Capacious Investment Growth Fund,IN/AIF1/25-26/2103,Category I,Harshi Chopra,cwmllpinfo@gmail.com,,,,,302017,Jaipur,Rajasthan,"53 Gem Enclave Pradhan Marg, Malviya Nagar Jaipur, JAIPUR, RAJASTHAN, 302017",,"Mar 24, 2026 - Perpetual",aif
377,Capier Investments India Trust One,IN/AIF2/21-22/0962,Category II,Gautham Kalro,gautham@capierinvestments.com,,,,,560025,Bangalore,Karnataka,"PeerCap Advisors LLP, No. 16 Bar 2, Awfis Space Solution Pvt Ltd, 3rd Floor,, Field Marshal KM Cariappa Road, Shanthala Nagar, Ashok Nagar,, BANGALORE, KARNATAKA, 560025","PeerCap Advisors LLP, No. 16 Bar 2, Awfis Space Solution Pvt Ltd, 3rd Floor, Field Marshal KM Cariappa Road, Shanthala Nagar, Ashok Nagar, BANGALORE, KARNATAKA, 560025","Dec 14, 2021 - Perpetual",aif
378,Capital 2B,IN/AIF2/22-23/1051,Category II,Nitin Gupta,nitin.gupta@infoedgeventures.com,,,,,110019,New Delhi,National Capital Territory Of Delhi,"Ground Floor 12A 94 Meghdoot, Nehru Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Ground Floor 12A 94 Meghdoot, Nehru Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Apr 20, 2022 - Perpetual",aif
379,CAPITAL GROWTH TRUST,IN/AIF2/19-20/0675,Category II,SHILPA MODI,shilpa.modi@srei.com,,,,,700046,Kolkata,West Bengal,"Vishwakarma Building, 86C Topisa Road South, KOLKATA, WEST BENGAL, 700046","Vishwakarma Building, 86C Topisa Road South, KOLKATA, WEST BENGAL, 700046","Apr 11, 2019 - Perpetual",aif
380,CapitaLand India RE Opportunities Fund,IN/AIF2/25-26/2074,Category II,SOURABH GUPTA,sourabh.gupta@capitaland.com,,,,,560066,Bangalore,Karnataka,"3rd Floor, Discoverer Building, , ITPL Main Road, BANGALORE, KARNATAKA, 560066",,"Mar 05, 2026 - Perpetual",aif
381,CAPITALK,IN/AIF3/21-22/0929,Category III,Amitabh Chakraborty,amitabh.chakraborty@kitaracapital.com,,,,,400018,Mumbai,Maharashtra,"507 CEEJAY HOUSE SHIV SAGAR ESTATE, DR. ANNIE BESANT ROAD WORLI, MUMBAI, MAHARASHTRA, 400018","507 Ceejay House, Shiv Sagar Estate, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400018","Sep 08, 2021 - Perpetual",aif
382,Capitalmind Select India One,IN/AIF3/23-24/1357,Category III,Varun Mishra,varun@capitalmind.in,,,,,560102,Bangalore,Karnataka,"2323 Prakash Arcade 17th Cross 27th Main, 1st Sector HSR Layout, BANGALORE, KARNATAKA, 560102","2323 Prakash Arcade 17th Cross 27th Main, 1st Sector HSR Layout, BANGALORE, KARNATAKA, 560102","Sep 26, 2023 - Perpetual",aif
383,CapitalSquare Alternative Investment Trust,IN/AIF3/24-25/1702,Category III,Sunil Kumar  Manocha,aif@capitalsquare.in,,,,,400093,Mumbai,Maharashtra,"208 AarPee Centre,CTS, 70, Nr.Tunga Paradise Hotel, Chakala MIDC,, MUMBAI, MAHARASHTRA, 400093","208 AarPee Centre,CTS, 70, Nr.Tunga Paradise Hotel, Chakala MIDC, MUMBAI, MAHARASHTRA, 400093","Jan 22, 2025 - Perpetual",aif
384,Capitar Ventures Growth Fund,IN/AIF1/26-27/2194,Category I,Rahul Mahipal,rahul@capitar.in,,,,,400069,Mumbai,Maharashtra,"Unit No. 417, Lodha Supremus Andheri, End of 11th Road,, Off Mahakali Caves Road, Near Hotel Tunga International, Andheri East,, MUMBAI, MAHARASHTRA, 400069",,"May 25, 2026 - Perpetual",aif
385,CAPITAR VENTURES TRUST,IN/AIF2/22-23/1134,Category II,Rahul Mahipal,Rahul@capitar.in,,,,,400093,Mumbai,Maharashtra,"Unit no. 417 Lodha Supremus Andheri, End of 11th Road of Mahakali Caves Road, Near Hotel Tunga International, Andheri East, MUMBAI, MAHARASHTRA, 400093",,"Sep 14, 2022 - Perpetual",aif
386,Capri India Investment Fund,IN/AIF2/16-17/0251,Category II,,,,,,,400051,Mumbai,Maharashtra,"1 B Court Chambers 35, Sir Vithaldas Thakersey Marg New marine lines, MUMBAI, MAHARASHTRA, 400051",,"Aug 09, 2016 - Perpetual",aif
